2024-06-06,10:13:43; 温度:22.0°C; 湿度:45.3%RH; 照度:1895Lux; 土壤温度:25.2°C; CO2浓度415PPm
2024-06-06,10:13:44; 温度:22.0°C; 湿度:45.3%RH; 照度:1896Lux; 土壤温度:25.2°C; CO2浓度418PPm
2024-06-06,10:13:45; 温度:21.9°C; 湿度:45.3%RH; 照度:1897Lux; 土壤温度:25.2°C; CO2浓度421PPm
2024-06-06,10:13:46; 温度:21.9°C; 湿度:45.3%RH; 照度:1898Lux; 土壤温度:25.2°C; CO2浓度424PPm
2024-06-06,10:13:47; 温度:21.9°C; 湿度:45.3%RH; 照度:1899Lux; 土壤温度:25.2°C; CO2浓度427PPm
2024-06-06,10:13:48; 温度:21.9°C; 湿度:45.3%RH; 照度:1900Lux; 土壤温度:25.2°C; CO2浓度430PPm
2024-06-06,10:13:49; 温度:21.9°C; 湿度:45.3%RH; 照度:1901Lux; 土壤温度:25.2°C; CO2浓度433PPm
2024-06-06,10:13:50; 温度:21.9°C; 湿度:45.3%RH; 照度:1902Lux; 土壤温度:25.2°C; CO2浓度436PPm
2024-06-06,10:13:51; 温度:21.9°C; 湿度:45.3%RH; 照度:1903Lux; 土壤温度:25.2°C; CO2浓度439PPm
2024-06-06,10:13:52; 温度:21.9°C; 湿度:45.3%RH; 照度:1904Lux; 土壤温度:25.2°C; CO2浓度442PPm
2024-06-06,10:18:04; 温度:22.0°C; 湿度:45.3%RH; 照度:1895Lux; 土壤温度:25.2°C; CO2浓度415PPm
2024-06-06,10:18:05; 温度:22.0°C; 湿度:45.3%RH; 照度:1896Lux; 土壤温度:25.2°C; CO2浓度418PPm
2024-06-06,10:18:06; 温度:21.9°C; 湿度:45.3%RH; 照度:1897Lux; 土壤温度:25.2°C; CO2浓度421PPm
2024-06-06,10:18:07; 温度:21.9°C; 湿度:45.3%RH; 照度:1898Lux; 土壤温度:25.2°C; CO2浓度424PPm
2024-06-06,10:18:08; 温度:21.9°C; 湿度:45.3%RH; 照度:1899Lux; 土壤温度:25.2°C; CO2浓度427PPm
2024-06-06,10:18:09; 温度:21.9°C; 湿度:45.3%RH; 照度:1900Lux; 土壤温度:25.2°C; CO2浓度430PPm
2024-06-06,10:18:10; 温度:21.9°C; 湿度:45.3%RH; 照度:1901Lux; 土壤温度:25.2°C; CO2浓度433PPm
2024-06-06,10:18:11; 温度:21.9°C; 湿度:45.3%RH; 照度:1902Lux; 土壤温度:25.2°C; CO2浓度436PPm
2024-06-06,10:18:12; 温度:21.9°C; 湿度:45.3%RH; 照度:1903Lux; 土壤温度:25.2°C; CO2浓度439PPm
2024-06-06,10:18:13; 温度:21.9°C; 湿度:45.3%RH; 照度:1904Lux; 土壤温度:25.2°C; CO2浓度442PPm
